BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CONSOLIDATED SERVICE CENTER,OTHER SERVICES,3962.56,3962.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CONSOLIDATED SERVICE CENTER,EQUIPMENT,24767.31,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CONSOLIDATED SERVICE CENTER,CONSOLIDATED SERVICE CENTER TOTALS:,28729.87,3962.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CARPET SERVICES,EQUIPMENT,42833.58,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CARPET SERVICES,CARPET SERVICES TOTALS:,42833.58,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,DRAPERY SERVICES,TRANSPORTATION OF THINGS,4200,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,DRAPERY SERVICES,EQUIPMENT,-16466.25,-3000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,DRAPERY SERVICES,DRAPERY SERVICES TOTALS:,-12266.25,-3000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FINISH SCHEDULE,SUPPLIES AND MATERIALS,59686.43,5677.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FINISH SCHEDULE,EQUIPMENT,82486.48,52297.21
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,142172.91,57974.77
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,717424.07,314053.82
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,717424.07,314053.82
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,BENEFITS AND COMPENSATION,OTHER SERVICES,59580,57600
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,BENEFITS AND COMPENSATION,EQUIPMENT,481245.84,46457.24
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,540825.84,104057.24
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ACCESS INFO SYST TECH SERVICES,SUPPLIES AND MATERIALS,422.97,215.97
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,123373.14,86530.2
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ACCESS INFO SYST TECH SERVICES,ACCESS INFO SYST TECH SERVICES TOTALS:,123796.11,86746.17
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ACCESS INFO SYST TECH SERVICES,OFFICE TOTALS:,93923649.79,28351144.23
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,19628624.92,4951355.48
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,38459.8,17097.26
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,164312.62,44501.68
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,22985.31,6581.47
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,1231402.73,454166.99
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,443711.26,200094.48
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,477100.5,197440.83
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,22006597.14,5871238.19
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,RECEPTIONS,OTHER SERVICES,150,0
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,RECEPTIONS,SUPPLIES AND MATERIALS,2546.2,1384
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,RECEPTIONS,RECEPTIONS TOTALS:,2696.2,1384
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,FAMILY ROOM,SUPPLIES AND MATERIALS,9715.27,416.09
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,FAMILY ROOM,FAMILY ROOM TOTALS:,9715.27,416.09
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,FAMILY ROOM,OFFICE TOTALS:,22019008.61,5873038.28
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1073348.6,268915.21
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,1882.45,576.47
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,10305.58,4398.89
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,3037.4,0
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,67327.19,6250
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,51609.41,23585.94
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,9053.05,2026.12
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1216563.68,305752.63
,FISCAL YEAR 2017 OFFICE OF GENERAL COUNSEL,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1216563.68,305752.63
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,PERSONNEL,PERSONNEL COMPENSATION,9530573.63,2402842.12
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,PERSONNEL,PERSONNEL TOTALS:,9530573.63,2402842.12
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,RECEPTIONS,OTHER SERVICES,161.9,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,RECEPTIONS,SUPPLIES AND MATERIALS,156.44,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,RECEPTIONS,RECEPTIONS TOTALS:,318.34,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,RECEPTIONS,OFFICE TOTALS:,9530891.97,2402842.12
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1241349.93,281874.99
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,25112.65,7083.07
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,190.3,0
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,8035.39,491.4
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,17787.97,1176
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1292476.24,290625.46
,FISCAL YEAR 2017 OFFICE OF THE PARLIAMENTARIAN,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1292476.24,290625.46
,FISCAL YEAR 2017 COMPILATION OF PRECEDENTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,477499.95,120499.98
,FISCAL YEAR 2017 COMPILATION OF PRECEDENTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,477499.95,120499.98
,FISCAL YEAR 2017 COMPILATION OF PRECEDENTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,477499.95,120499.98
,FISCAL YEAR 2017 TECHNICAL ASSISTANTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,464107.08,116026.77
,FISCAL YEAR 2017 TECHNICAL ASSISTANTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,464107.08,116026.77
,FISCAL YEAR 2017 TECHNICAL ASSISTANTS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,464107.08,116026.77
,FISCAL YEAR 2017 FORMER SPEAKER'S STAFF,2017,Q3,FORMER SPEAKER BOEHNER,PERSONNEL COMPENSATION,26414.34,0
,FISCAL YEAR 2017 FORMER SPEAKER'S STAFF,2017,Q3,FORMER SPEAKER BOEHNER,RENT  COMMUNICATION  UTILITIES,1130.96,0
,FISCAL YEAR 2017 FORMER SPEAKER'S STAFF,2017,Q3,FORMER SPEAKER BOEHNER,SUPPLIES AND MATERIALS,98.58,0
,FISCAL YEAR 2017 FORMER SPEAKER'S STAFF,2017,Q3,FORMER SPEAKER BOEHNER,FORMER SPEAKER BOEHNER TOTALS:,27643.88,0
,FISCAL YEAR 2017 FORMER SPEAKER'S STAFF,2017,Q3,FORMER SPEAKER BOEHNER,OFFICE TOTALS:,27643.88,0
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,TRAINING  PERSONNEL & DEVELOP,TRAVEL,13713.22,5044.36
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,TRAINING  PERSONNEL & DEVELOP,OTHER SERVICES,42098.19,6697.69
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,TRAINING  PERSONNEL & DEVELOP,TRAINING  PERSONNEL & DEVELOP TOTALS:,55811.41,11742.05
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,PERSONNEL COMPENSATION,371058.82,93232.5
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,35311.6,6968.32
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,PRINTING AND REPRODUCTION,175.23,29.95
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,OTHER SERVICES,50446.59,13333.59
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,SUPPLIES AND MATERIALS,7991.28,1312.22
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,EQUIPMENT,67998.75,62868.75
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,ADMIN AND OPS,ADMIN AND OPS TOTALS:,532982.27,177745.33
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,PERSONNEL COMPENSATION,2934843.43,750924.29
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,TRAVEL,517.69,247.15
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,RENT  COMMUNICATION  UTILITIES,412.39,72.39
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,OTHER SERVICES,31978.88,30649.88
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,SUPPLIES AND MATERIALS,8151.34,0
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,EQUIPMENT,32102.68,11658.83
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,AUDIT  ADVISORY  INVESTIGATION TOTALS:,3008006.41,793552.54
,FISCAL YEAR 2017 OFFICE OF INSPECTOR GENERAL,2017,Q3,AUDIT  ADVISORY  INVESTIGATION,OFFICE TOTALS:,3596800.09,983039.92
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,6101.43,1646.57
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,ADMIN AND OPS,OTHER SERVICES,140423.05,75528.05
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,ADMIN AND OPS,SUPPLIES AND MATERIALS,46582.42,17918.54
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,ADMIN AND OPS,EQUIPMENT,73812.32,21590.3
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,ADMIN AND OPS,ADMIN AND OPS TOTALS:,266919.22,116683.46
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,2085685.48,527588.04
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,USC CODIFICATION & MAINTENANCE,USC CODIFICATION & MAINTENANCE TOTALS:,2085685.48,527588.04
,FISCAL YEAR 2017 LAW REVISION COUNSEL,2017,Q3,USC CODIFICATION & MAINTENANCE,OFFICE TOTALS:,2352604.7,644271.5
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,34229.73,8920.8
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,PRINTING AND REPRODUCTION,549.25,89.85
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,OTHER SERVICES,36814.58,26227.94
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,SUPPLIES AND MATERIALS,26575.36,20711.54
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,EQUIPMENT,89034.17,73689.14
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,ADMIN AND OPS,ADMIN AND OPS TOTALS:,187203.09,129639.27
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,8325891.91,2107564.32
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,DRAFTING LEGISLATION,DRAFTING LEGISLATION TOTALS:,8325891.91,2107564.32
,FISCAL YEAR 2017 LEGISLATIVE COUNSEL,2017,Q3,DRAFTING LEGISLATION,OFFICE TOTALS:,8513095,2237203.59
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,290000,73125
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,5158.4,1874.93
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,340.7,0
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,65148.96,37526.65
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,2280,570
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,362928.06,113096.58
,FISCAL YEAR 2017 INTERPARLIAMENTARY AFFAIRS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,362928.06,113096.58
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,ATLAS,OTHER SERVICES,1274765.8,374985.84
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,ATLAS,ATLAS TOTALS:,1274765.8,374985.84
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,HYPERION BUDGET & PLANNING,OTHER SERVICES,483608.64,69724.99
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,HYPERION BUDGET & PLANNING,HYPERION BUDGET & PLANNING TOTALS:,483608.64,69724.99
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,PD REPLACEMENT PROJECT,OTHER SERVICES,19983.6,19983.6
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,PD REPLACEMENT PROJECT,PD REPLACEMENT PROJECT TOTALS:,19983.6,19983.6
,FISCAL YEAR 2017 CAO ADVANCED BUSINESS SOLUTION,2017,Q3,PD REPLACEMENT PROJECT,OFFICE TOTALS:,1778358.04,464694.43
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,LIMS,OTHER SERVICES,353016.21,56406.25
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,LIMS,EQUIPMENT,248557.43,140590.99
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,LIMS,LIMS TOTALS:,601573.64,196997.24
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,ELECTRONIC VOTING SYSTEM,OTHER SERVICES,55145.22,79325
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,ELECTRONIC VOTING SYSTEM,SUPPLIES AND MATERIALS,20814.06,0
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,ELECTRONIC VOTING SYSTEM,EQUIPMENT,158837.41,1100.35
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,ELECTRONIC VOTING SYSTEM,ELECTRONIC VOTING SYSTEM TOTALS:,234796.69,80425.35
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,CANNON RENEWAL,TRANSPORTATION OF THINGS,16684,0
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,CANNON RENEWAL,OTHER SERVICES,855,0
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,CANNON RENEWAL,CANNON RENEWAL TOTALS:,17539,0
,FISCAL YEAR 2017 CLERK OF THE HOUSE,2017,Q3,CANNON RENEWAL,OFFICE TOTALS:,853909.33,277422.59
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,13.33,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,19.2,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,32.53,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,32.53,0
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,TRAVEL,41907.76,13704.46
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,RENT  COMMUNICATION  UTILITIES,131518.38,37201.26
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,PRINTING AND REPRODUCTION,1761.81,69.95
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,OTHER SERVICES,649272.62,275049.91
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,SUPPLIES AND MATERIALS,122260.43,78183.09
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,EQUIPMENT,213751.6,121313.35
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,NON - PERSONNEL,NON - PERSONNEL TOTALS:,1160472.6,525522.02
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,OVERSEAS TRVL CAP POLICE REIMB,TRAVEL,171878.68,171878.68
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,OVERSEAS TRVL CAP POLICE REIMB,OVERSEAS TRVL CAP POLICE REIMB TOTALS:,171878.68,171878.68
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,MEMB DSTOFF SECUR ASSMNT OTH,OTHER SERVICES,801.25,801.25
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,MEMB DSTOFF SECUR ASSMNT OTH,SUPPLIES AND MATERIALS,580,580
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,MEMB DSTOFF SECUR ASSMNT OTH,MEMB DSTOFF SECUR ASSMNT OTH TOTALS:,1381.25,1381.25
,FISCAL YEAR 2017 SERGEANT AT ARMS,2017,Q3,MEMB DSTOFF SECUR ASSMNT OTH,OFFICE TOTALS:,1333732.53,698781.95
,FISCAL YEAR 2017 EMD,2017,Q3,OEPPO,OTHER SERVICES,756256.32,76242.99
,FISCAL YEAR 2017 EMD,2017,Q3,OEPPO,OEPPO TOTALS:,756256.32,76242.99
,FISCAL YEAR 2017 EMD,2017,Q3,OEPPO,OFFICE TOTALS:,756256.32,76242.99
,FISCAL YEAR 2017 CAO IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OTHER SERVICES,129196.21,25942.42
,FISCAL YEAR 2017 CAO IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,CONGRESSIONAL TRANSITION TOTALS:,129196.21,25942.42
,FISCAL YEAR 2017 CAO IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OFFICE TOTALS:,129196.21,25942.42
,FISCAL YEAR 2017 HIR IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OTHER SERVICES,108780,0
,FISCAL YEAR 2017 HIR IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,CONGRESSIONAL TRANSITION TOTALS:,108780,0
,FISCAL YEAR 2017 HIR IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OFFICE TOTALS:,108780,0
,FISCAL YEAR 2017 LGTCS & SUPP IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OTHER SERVICES,83922.94,0
,FISCAL YEAR 2017 LGTCS & SUPP IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,CONGRESSIONAL TRANSITION TOTALS:,83922.94,0
,FISCAL YEAR 2017 LGTCS & SUPP IMMEDIATE OFFICE,2017,Q3,CONGRESSIONAL TRANSITION,OFFICE TOTALS:,83922.94,0
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,RENT  COMMUNICATION  UTILITIES,50329,0
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,OTHER SERVICES,284047.74,60776.82
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,SUPPLIES AND MATERIALS,22793.98,0
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,EQUIPMENT,575494.27,152982.3
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,CONGRESSIONAL TRANSITION TOTALS:,932664.99,213759.12
,FISCAL YEAR 2017 FURNISHINGS,2017,Q3,CONGRESSIONAL TRANSITION,OFFICE TOTALS:,932664.99,213759.12
,FISCAL YEAR 2017 PAYROLL AND BENEFITS,2017,Q3,CONGRESSIONAL TRANSITION,OTHER SERVICES,279027.17,0
,FISCAL YEAR 2017 PAYROLL AND BENEFITS,2017,Q3,CONGRESSIONAL TRANSITION,CONGRESSIONAL TRANSITION TOTALS:,279027.17,0
,FISCAL YEAR 2017 PAYROLL AND BENEFITS,2017,Q3,CONGRESSIONAL TRANSITION,OFFICE TOTALS:,279027.17,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,TRAVEL,359475.64,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,RENT  COMMUNICATION  UTILITIES,49736.09,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,PRINTING AND REPRODUCTION,801,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,OTHER SERVICES,4000,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,SUPPLIES AND MATERIALS,88089.59,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,NEW MEMBERS ORIENTATION TOTALS:,502102.32,0
,FISCAL YEAR 2017 NEW MEMBER ORIENTATION,2017,Q3,NEW MEMBERS ORIENTATION,OFFICE TOTALS:,502102.32,0
,FISCAL YEAR 2017 TECHNOLOGY INFRASTRUCTURE,2017,Q3,FEDERAL OFFICE BUILDING 8,RENT  COMMUNICATION  UTILITIES,2695.28,0
,FISCAL YEAR 2017 TECHNOLOGY INFRASTRUCTURE,2017,Q3,FEDERAL OFFICE BUILDING 8,FEDERAL OFFICE BUILDING 8 TOTALS:,2695.28,0
,FISCAL YEAR 2017 TECHNOLOGY INFRASTRUCTURE,2017,Q3,FEDERAL OFFICE BUILDING 8,OFFICE TOTALS:,2695.28,0
,FISCAL YEAR 2017 TECHNOLOGY INFRASTRUCTURE,2017,Q3,CANNON RENEWAL,EQUIPMENT,13345.28,927.5
